Sentence #,Standard_Bangla
1,কেমন আছো
2,আজকে আমার মন ভালো নেই
3,তুমি কি করো
4,এই গরমে আমার কিছু ভালো লাগে না
5,ছেলেটি সাদা রঙয়ের একটি শার্ট পরে এসেছিল
6,মেয়েটি লাল রঙয়ের শাড়ি পরে আমার সাথে দেখা করতে এসেছিল
7,ছেলেটি সিলেট থেকে ঢাকায় এসেছে
8,মেয়েটি সিলেট থেকে আসা এই ছেলেটিকে অনেক ভালবাসে
9,ছেলেটি মেয়েটাকে এখনো ভালবাসার চোখে দেখেনি
10,মেয়েটি তাঁর সব স্বপ্নের মধ্যে ছেলেটাকে কল্পনা করে
11,আমার অনেক দিন আগে একবার বিয়ে হয়েছিল
12,আমার মা আমাকে বলেছিল বিয়ে হলে জীবন পরিবর্তন হয়ে যায়
13,আম্মু ঐদিন ঠিক কথাই বলেছিলও
14,আম্মু সব সময় আমার মনের কথা বুঝে
15,আমার বাসার কাজের মেয়েটি এখন ভাল মত কাজ করে নাহ
16,আমার বাসার কাজের মেয়েটি দুইদিন ধরে পলাতক
17,আমার বাসার দারওয়ান এখন তাঁর গ্রামে ঘুরতে গিয়েছে
18,তোমাকে আমি কল দিবো না
19,এই জিনিষটা খুবই বিরক্তিকর ছিল
20,সে সিলেট থেকে আমার সাথে দেখা করতে এসেছিল
21,সে এখন রাজশাহী চলে গেছে
22,সে এখন তাঁর বন্ধুদের সাথে সিগারেট খায়
23,সে একদমই হাসে না
24,সে আমাকে অপমান করে
25,তাঁর বই পরতে একদমই ভাল লাগে না
26,আপনার কি বই পড়ার অভ্যাস আছে
27,তুমি কি আমাকে চিনো
28,আমি তোমাকে চিনতে পারলাম না
29,আমি তোমাকে আগে কখনো দেখি নাই
30,আমার পড়ালেখা করতে একদমই ভাল লাগে না
31,আপনার পড়ালেখা করা উচিত
32,আপনাকে পড়ালেখা করতে হবে
33,আপনার কি কি পড়ালেখা করতে একদমই ভাল লাগে নাহ
34,তোর পড়ালেখা কোরতে হবে
35,তুই কি আর পড়ালেখা করবি নাহ
36,তুই কি পড়ালেখা ছেড়ে দিতে চাস
37,তোর কি পড়ালেখা করতে একদমই ভাল লাগে নাহ
38,তুমি কি এখন খেতে বসবা
39,আজকে আমার খেতে ভালো লাগছে না
40,আমার বিদ্যালয়ে অনেক বন্ধু আছে
41,আমার ছোট বোন বিদ্যালয়ে যেতে চায় না
42,আমার বিদ্যালয়ে যেতে অনেক ভাল লাগে
43,সে তার গ্রামের একটি বিদ্যালয়ে পড়ালেখা করে
44,সে বিদ্যালয়ে যেতে চায় না
45,তার বিদ্যালয়ে গিয়ে পড়ালেখা করতে ভাল লাগে না
46,সে বিদ্যালয়ে গিয়ে বন্ধুদের সাথে গল্প করে
47,সে বিদ্যালয়ের মাঠে প্রতিদিন ক্রিকেট খেলে
48,সে বিদ্যালয়ের মাঠে মাথা ঘুরিয়ে পরে গিয়েছিল
49,সে অনেক দিন আগে তার বিদ্যালয়ের একটি মেয়েকে ভালোবাসতো
50,ছেলেটি তাঁর গ্রামের ছোটো একটি বিদ্যালয় থেকে পড়ালেখা করে এসএসসি পাশ করেছে
51,তোমাদের বাসা কোথায়
52,ঢাকা বাংলাদেশের রাজধানী
53,তুমি কি আমার সাথে প্রেম করবা
54,আমি আজকে সকালে ফুটবল খেলেছি
55,আমি তোমার মনের কথা বুঝি না
56,তোমার জন্য আমার খুব কষ্ট হয়
57,আমাদের স্বপ্ন অনেক বড়
58,অল্পবয়সী একটি ছেলে বাইরে ফুটপাতে দৌড়াচ্ছে
59,একটি ছোট শিশু বিছানায় লাফিয়ে উঠছে
60,একটি ছেলে বিছানায় লাফাচ্ছে
61,একটি ছেলে এক বিছানা থেকে অন্য বিছানায় লাফ দিচ্ছে
62,একটি ছোট শিশু ফুটপাতে হাঁটছে
63,আমি একজন ছেলে
64,আমি একজন মেয়ে
65,আমার স্বামী আমাকে খুব ভালোবাসে
66,স্কুল জীবন থেকে তাদের প্রেম ছিলো
67,আমি বিবাহ করেছি দশ বছর হয়
68,অসম্ভব ভাল ছবি
69,বহুদিন পরে একটা ভাল ছবি দেখলাম
70,অসম্ভব ভালো লিখেছেন
71,বহুদিন পরে একটা ভালো লেখা পড়লাম
72,প্রচণ্ড মাথা ব্যথা করছিলো
73,কিছুই বুঝতে পারলাম না
74,তিনি এটা দেখে জ্ঞান হারিয়ে ফেললেন
75,এক কথায় অনেক সুন্দর লাগছে আপনাকে
76,আপনার ছবির চেয়ে আপনি বাস্তবে বেশি সুন্দর
77,আপনার হাশির কাছে সব কিছু হার মেনে যায়
78,আপনার চোখ অনেক সুন্দর
79,আপনার সাথে পরিচিত হয়ে ভালো লাগলো
80,অনেক সময় পর আপনাকে দেখছি
81,দু ভাইয়ের মধ্যে জায়গা জমি নিয়ে ঝগড়া হয়
82,পরে এক ভাই কুয়েত চলে যায় আরেক ভাই সুদান চলে যায়
83,কিছু দিন পর সুদান ফেরত লোকটি বিয়ে করেন
84,মোবাইল ছাড়া বাথরুমে গেলে মনে হয় জরুরি ফাইল ছাড়া অফিসে বসে আছি
85,যাদের গালি দেওয়া হয়ে গেছে তারা দয়া করে লাইন থেকে সরে যান
86,পেছনে এখনো অনেক মানুষ লাইনে দাঁড়িয়ে আছে
87,তাদেরকে গালি দেওয়ার সুযোগ করে দিন
88,খুব বেশি কিছু বলবো না কারন আবেগে চোখে পানি চলে আসছে
89,তুমি বলছো যে থাকার সে এমনিই থেকে যাবে
90,প্রথমে আপনাকে একটি দোকানে যেতে হবে
91,নিজের পছন্দের বিয়েতে বাবা মাকে রাজি করানো হলো
92,মেয়েটি লাল শাড়ি পড়ে দাড়িয়ে আছে
93,বউয়ের জন্য আর বন্ধুদের মাঝে মুখ দেখানোর উপায় নাই
94,আমাকে সবার সামনে মারতে মারতে বাসায় নিয়ে আসে
95,আমি জানি এখানে অনেক মেয়ে কমেন্ট পড়তে আসবে
96,মাঝে মাঝে মনে হয় ঘরবাড়ী সব মশার নামে লিখে দিয়ে আমি জঙ্গলে চলে যাই
97,তোমার হয়ে আছি আমি তোমার হয়ে থাকবো
98,সারা জীবন তোমায় আমি ভালবেসে যাবো
99,পাশে থেকো সারা জীবন দূরে যেয়ো না
100,তোমায় ছাড়া একটুও আমার ভালো লাগে না
101,কাউকে আবেগের ভালোবাসা দিওনা মনের ভালোবাসা দিও
102,কারন আবেগের ভালোবাসা একদিন বিবেকের কাছে হেরে যাবে
103,কি করে বুঝাবো তারে আমি কতটা ভালবাসি
104,অনেক দিন পর তোমাকে দেখলাম
105,তোমাকে দেখে থমকে দারিয়ে ছিলাম
106,আমি খুব কষ্টে নিজেকে সামলে নিলাম
107,যখন তুমি আমাকে দেখে না দেখার ভান করলে তখন আমার দারুন লেগেছে
108,তোমাকে সেই অনুভুতির কথা বলে বুঝাতে পারবো না
109,তোমাকে খুব মনে পড়ছে দিব তোমায় লাল গোলাপ
110,আমার জীবনে কেউ নেই তুমি ছাড়া
111,আমার জীবনে কোন স্বপ্ন নেই তুমি ছাড়া
112,আমার দুচোখ কিছু খোজেনা তোমায় ছাড়া
113,যখন মেয়ে বুঝে তখন ছেলে বুঝেনা
114,তুমি শুধু মনে রেখো আমায় সারা বেলা
115,চোখের কান্না মুছে দেব তোমায় হাসি
116,তাইতো আমি বন্ধু তোমায় এতো ভালবাসি
117,কত সুন্দর তুমি প্রেমে পড়েছি আমি
118,ছেলেরা ভালোবাসার অভিনয় করতে করতে যে কখন সত্যি সত্যি ভালোবেসে ফেলে তারা তা নিজেও জানেনা
119,মেয়েরা সত্যিকার ভালোবাসতে বাসতে যে কখন অভিনয় শুরু করে তারা তা নিজেও জানেনা
120,এই পৃথিবীতে প্রিয় মানুষগুলোকে ছাড়া বেঁচে থাকাটা কষ্টকর কিন্তু অসম্ভব কিছু নয়
121,কারো জন্য কারো জীবন থেমে থাকে না
122,কাউকে প্রচন্ডভাবে ভালবাসার মধ্যে এক ধরনের দুর্বলতা আছে
123,ছেলে এবং মেয়ে বন্ধু হতে পারে কিন্তু তারা অবশ্যই একে অপরের প্রেমে পড়বে
124,ছেলেদের জন্য পৃথিবীতে সব চাইতে মূল্যবান হল মেয়েদের হাসি
125,তোমাকে দুচোখ ভরে দেখা এখনও বাকি
126,তোমাকে কাছে এসে জড়িয়ে ধরা বাকি
127,আমার অনেক ঠাণ্ডা লাগছে
128,আমার মন খারাপ
129,আপনার কি মন খারাপ
130,তোমার কি মন খারাপ
131,আব্বু আমার জন্য লাল জামা কিনে এনেছে
132,আমার বন্ধু আমাকে লাল শাড়ি কিনে দিয়েছে
133,আমার বন্ধু আমাকে একটি লাল গোলাপ কিনে দিয়েছে
134,আমার আম্মু আমাকে নিয়ে পার্কে ঘুরতে যাবে
135,যে ভালবাসা যত গোপন সেই ভালবাসা তত গভীর
136,ভালোবাসা পাওয়ার চাইতে ভালোবাসা দেওয়াতেই বেশি আনন্দ
137,তুমি যদি কাউকে ভালোবাসো তবে তাকে ছেড়ে দাও
138,যদি সে তোমার কাছে ফিরে আসে তবে সে তোমারই ছিল
139,আর যদি ফিরে না আসে তবে সে কখনই তোমার ছিল না
140,যখন কোন পুরুষ কোন নারীকে ভালবাসে তখন সে তার জন্য সব কিছু করতে পারে
141,মুখে মুখে সবসময় ভালোবাসি ভালোবাসি বলার চেয়ে আমার মনে হয় ভালোবাসার মানুষটাকে বুঝতে পারা অনেক বড় ব্যাপার
142,ভালোবাসা মানে পরস্পরকে বুঝতে পারা
143,আমি যে মানুষটিকে ভালোবাসব তাকে যদি না বুঝতে পারি তাহলে এই প্রেমের কোনো অর্থ আছে বলে মনে হয় না
144,নিজে অসুখী হয়ে অন্যকে ভালোবেসে সুখী করা যায়না
145,কেউ আপনার জীবনে সুখ এনে দেবে ভেবে কারো সাথে প্রেমে জড়াবেন না
146,আপনি কারো জীবনে সুখ এনে দেবেন ভেবে প্রেম করুন
147,সত্যিকারের ভালোবাসা শুধু ভালোবাসার মানুষটিকে সুখী করতে চায় তার থেকে কোনো প্রতিদান আশা করে না
148,ভালবাসা মানে কাউকে জয় করা নয় বরং নিজেই কারো জন্য হেরে যাওয়া
149,আপনি কখনই পারবেন না অন্য কারও ভালোবাসাকে ছিনিয়ে নিতে কিংবা জোর করে অন্যের ভালো লাগার মানুষ হতে
150,চোখের সামনে যাদেরকে দেখছেন তাদেরকে আগামিকাল সকালবেলা আর দেখতে পাবেন কিনা তার কোনও নিশ্চয়তা নেই
151,ভালো লাগে তোমার ওই কাজল কালো চোখ
152,তোমার মনের কথা আজ আমাকে খুলে বলো
153,আমার হাতটা ধরে সামনের পথে এগিয়ে চলো পেছন ফিরে আর আমরা দেখবো না
154,গোলাপ ফুল দিবো আমি তোমার হাতে
155,এই মন আজ তোমায় দিলাম
156,তোমার ওই মন আমি নিয়ে নিলাম
157,হাজার কথার মাঝে একটা মনের কথা লুকিয়ে থাকে
158,সব কথা মুখে বলে দেওয়া যায়না
159,হাজার কথার মাঝে ওই একটা কথা বুঝে নিতে হয়
160,যতদিন বেঁছে থাকি তোমায় মনে রাখবো
161,যত কষ্ট হোক সব মেনে নেবো তবুও চিরদিন তোমাকেই ভালোবাসবো
162,দেখো কি সুন্দর মিষ্টি চাঁদের মিষ্টি আলো
163,ফুলে ফুলে সাজিয়ে রেখেছি আমার এই মন তুমি আসলে দুজন মিলে সাজাবো জীবন
164,পড়াশোনা করে কি হবে যদি তোমাকেই না পাওয়া যায়
165,মেয়েদের পোস্ট হচ্ছে মাছের বাজার সবাই এসে ভিড় জমায়
166,ছেলেদের পোস্ট হচ্ছে সোনার দোকান তাই খুব কম লোকই এখানে আসে
167,প্রতিদিন ঘুমিয়ে পড়ার আগে ভাবি যাই হোক বিয়ে করার আরেকটা দিন এগিয়েছে
168,বিয়েতে ছেলে পক্ষ দাবি করেছিল দুটি সোনার জিনিস চাই মেয়ে পক্ষ তাতেই রাজি হয়ে গেল
169,বর্তমানে প্রেম হীন মানুষ খুঁজে পাওয়াটা কষ্টকর
170,মিষ্টি হেসে কথা বলে পাগল করে দিলে
171,তোমায় নিয়ে হারিয়ে যাবো আকাশের নীলে
172,চলোনা কিছু না মেনে ভালোবাসি
173,চলো দুজনে মিলে সুখের পৃথিবী সাজাই
174,তোমাকে নিয়ে আমার সব কল্পনা
175,তোমায় হৃদয়ে রাখবো সারাক্ষণ
176,তুমি যদি চাও বৃষ্টি হবে আজ
177,চল দুজনে হাত ধরে হারাবো
178,তোমাকে ছুয়ে দিতে চাই অনুমতি
179,এই ছবির প্রতিটি গান অনেক অনেক প্রিয় ছিল এবং এখনো আছে
180,সত্যের ভালবাসা হারে না মিথ্যা ভালবাসা হেরে যায়
181,এই সেই সোনালী যুগের সেই প্রাচীন গান যে গান শুনলে বুকটা ভরে যায়
182,যতবার দেখি ততবার ভালো লাগে মৌসুমিকে গানটাতে অসম্ভব সুন্দর লাগছে
183,এখনো ভালো লাগে গানটা
184,কালো আর লাল শাড়িতে মৌসুমী আপু কে অসম্ভব সুন্দরী লাগে
185,মনে পড়ে যায় আমার ভালোবাসার মানুষটার কথা
186,গানটা শুনলেই পুরাতন ইতিহাস মনে পড়ে
187,এই ছবির সব গানগুলো অনেক সুন্দর
188,সব সময়ে গান গুলো বেশ সুন্দর ভালো লাগে শুনতে
189,মৌসুমি আপুকে বলছি এরকম একটা ছবি আমাদেরকে আবার উপরহার দিন
190,মৌসুমী আসলেই খুব সুন্দরী আমি কাছ থেকে দেখেছি
191,একদিন হয়তো পৃথিবীর মায়া কাটিয়ে চলে যাবো পরপারে
192,চোখ মেললেই দেখি তোমাকে চোখ বুজলেই পাই আরো কাছে
193,আরও বেশি ভালবাসা আমি দিতে চাই
194,এই গান আমার এত প্রিয় এখনো শুনি অনেক সুন্দর একটা অনুভুতী কাজ করে
195,যৌবন আসার আগেই তাকে ভালো বেসেছিলাম আবার যৌবন শেষ হবার পরেও তাকেই ভালো বাসবো
196,সাত বছর পর খুজে পেয়েছি আমার প্রিয় গানটা
197,জীবনে অনেক গান শুনি তারপরেও কেন জানি না এই গান গুলোর মত এত ভালো লাগে না
198,যখন গানটা নতুন বের হয়েছিলো তখন অনেক শুনেছি
199,এই গানটা যে কতো বার যে শুনেছি তার কোনো হিসেব নেই
200,ছোটবেলার স্মৃতিগুলো মনে পরে যায়
201,মাত্র এক বছর পর গানটার বয়স এক যুগ হবে যাবে
202,ভবিষ্যতে আমার ছেলে মেয়ে যখন এসব গান দেখবে তার বাবা কতটা রোমান্টিক ছিল
203,এই গানটা কতবার শুনিছি আমি নিজেই জানি না
204,এভাবে চলে যাবে সময় কিন্তু থেকে যাবে এসব কিছু গান
205,তাদেরকে অনেক ধন্যবাদ যারা গান গুলো উপহার দিয়ে গেছেন
206,রুমি ভাইয়া আবার ফিরে আসো সবার মাঝে নতুন গান নিয়ে
207,পুরনো দিনের কথা মনে পড়ে গেল
208,হারিয়ে গেছে কতকিছু কত আপনজন
209,শুধু গানটি যেমন ছিলো তেমনেই রয়ে গেছে
210,এই গান গুলো নিয়ে অনেক আবেগ আছে
211,এ গান টা শুনে চোখে পানি চলে আসলো
212,এসব গান ছোটবেলা থেকে শুনে বড় হয়েছি
213,এই গানটা শুনে মনে হল আমি বাংলাদেশ থেকে ঘুরে এলাম
214,এই ছবিটা দেখলে বোঝা যায় আমাদের দেশের জন্য কতো কষ্ট করেছে মুক্তিযোদ্ধা ভাইয়েরা
215,আমরা জীবনে ভুলতে পারব না
216,যতদিন পৃথিবীর বুকে বাংলাদেশ নামটি থাকবে ততদিন পর্যন্ত এই গানটি চলতে থাকবে
217,মুক্তিযুদ্ধের ভাইয়েরা আমাদের জন্য কত কষ্ট করেছে
218,গানটি শুনে আমার অনেক ভালো লেগেছে
219,গানটা শুনে চোখে পানি চলে আসলো সত্যি খুব ভালো লাগলো
220,ভারতীয় হয়েও যেন কোথাও আমি বাংলাদেশি অনুভব করছি
221,আজকের এই দিনে বাংলাদেশকে খুব মনে পড়ে
222,সেই ছোটবেলার কথা মনে পড়ে যায় যতবার গানটা শুনি অতীতে ফিরে যাই
223,এই ছোট ছেলেটি একটি বল দিয়ে খেলছে
224,লোকটি ফোনে কথা বলছে
225,বাইরে বেশ কিছু মানুষ ঘুরে বেড়াচ্ছে
226,রাতে একদল লোক একসাথে বাইরে বসে থাকে
227,তুমিহীন সময়টা নিজেদের মতো করে গুছিয়ে নেওয়ার চেষ্টা করছি
228,আজ তোমার কন্যাকে নিয়ে সারা বই মেলা ঘুরেছি কিন্তু কোনো আনন্দ পায়নি
229,তোমার পছন্দের বেশ কয়েকটি বই কিনেছি
230,সব কিছু কেমন শান্ত আর ফাঁকা লেগেছে
231,আমি জানি আমাদের আর কোন দিন এপারে একসাথে বই পড়া হবেনা
232,তুমি নেই এই কঠিন সত্যিটা আমি আজও বিশ্বাস করতে পারছি না
